ambulances,,,,,,,,,,,Ambulance deployment determined by results from running local search script: JEMSS/example/scripts/deployment_search.jl
index,stationIndex,class,unitName,crossStreetx,crossStreety,tour1Start,tour1End,tour2Start,tour2End,tour3Start,tour3End
51,7,1,C20,-73.84431603019068,40.85525992490287,0.20833333333333334,0.7083333333333334,0.7083333333333334,0.20833333333333334,,
52,14,2,14E,-73.91499699504041,40.804880297220734,0.4166666666666667,0.7708333333333334,0.7708333333333334,0.125,,
53,14,2,14B,-73.92821928708808,40.81654338489879,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
54,14,2,Z14,-73.92058698783367,40.81227308277608,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
55,8,2,18A,-73.8882402395986,40.85104281842509,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
56,1,2,20A,-73.82184620239197,40.821426239089554,0.25,0.75,0.75,0.25,,
57,5,2,27H,-73.89312900952801,40.88368740205491,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
58,8,1,C82,-73.90177048511323,40.84082560487724,0.25,0.75,,,,
59,4,2,19K,-73.89005651090227,40.865311529479,0.4166666666666667,0.7708333333333334,0.7708333333333334,0.125,,
60,12,1,14X,-73.92307209937229,40.8236239525911,0.25,0.75,0.75,0.25,,
61,13,2,15C,-73.87668540308881,40.87380108865126,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
62,10,2,19J,-73.91768878536409,40.842248843387516,0.25,0.75,0.75,0.25,,
63,13,2,15A,-73.85106017116004,40.88647604904208,0.3958333333333333,0.75,0.75,0.10416666666666667,,
64,1,2,03E,-73.8638231469616,40.816891442049965,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
65,9,2,17F,-73.92763127063158,40.83771017688148,0.375,0.7291666666666666,0.7291666666666666,0.08333333333333333,,
66,7,2,20G,-73.83531366682791,40.83389356466137,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
67,12,2,03B,-73.89389184246382,40.80905674501469,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
68,15,1,MS7,-73.86731881799957,40.86657753296872,0.375,0.7083333333333334,0.7083333333333334,0.041666666666666664,,
69,6,2,26G,-73.90573461154273,40.82334508003132,0.4583333333333333,0.8125,0.8125,0.16666666666666666,,
70,8,2,18B,-73.90558947302287,40.846696982030245,0.4583333333333333,0.8125,0.8125,0.16666666666666666,,
71,9,1,17V,-73.91785047576106,40.837163009124644,0.22916666666666666,0.5833333333333334,0.5833333333333334,0.9375,,
72,11,1,M22,-73.90558947302287,40.846696982030245,0.375,0.7083333333333334,0.7083333333333334,0.041666666666666664,,
73,3,2,18E,-73.89683278201805,40.86468376118754,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,,
74,13,1,15S,-73.84781672802221,40.90455370277044,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
75,14,2,14C,-73.92540254675929,40.82512433399016,0.3333333333333333,0.6875,0.6875,0.041666666666666664,,
76,9,2,17H,-73.91862646229036,40.829116058099096,0.25,0.75,0.75,0.25,,
77,8,2,82O,-73.91059553829191,40.83750335197883,0.5416666666666666,0.041666666666666664,,,,
78,13,2,15F,-73.85016729924278,40.87826551733984,0.3333333333333333,0.6875,0.6875,0.041666666666666664,,
79,6,2,26B,-73.90657010786265,40.82945266233612,0.2916666666666667,0.6458333333333334,0.6458333333333334,0.0,,
80,3,2,18D,-73.88834682591654,40.858607327044425,0.2916666666666667,0.7916666666666666,0.7916666666666666,0.2916666666666667,,
81,7,2,82A,-73.84314688189131,40.88503832751532,0.4791666666666667,0.8333333333333334,0.8333333333333334,0.1875,,
82,11,1,MS2,-73.91372568787288,40.83711050270039,0.375,0.7083333333333334,0.7083333333333334,0.041666666666666664,,
83,9,2,Z17,-73.92642534726322,40.831429602953975,0.2708333333333333,0.7708333333333334,0.7708333333333334,0.2708333333333333,,
84,2,2,03N,-73.8544569281752,40.83756969172008,0.375,0.7083333333333334,0.7083333333333334,0.041666666666666664,,
