nodes,,,
index,x,y,offRoadAccess,
169.0,-73.8631904,40.8337653,1.0
170.0,-73.8665819,40.83511940000001,0.0
171.0,-73.8697772,40.836272,1.0
172.0,-73.849663,40.8299514,0.0
173.0,-73.84847720000002,40.8295769,0.0
174.0,-73.8256735,40.838650599999994,0.0
175.0,-73.8255423,40.8363748,0.0
176.0,-73.8863458,40.823937600000015,0.0
177.0,-73.88608350000001,40.8250678,0.0
178.0,-73.8841227,40.892748,0.0
179.0,-73.8825803,40.8940976,0.0
180.0,-73.894674,40.8855211,1.0
181.0,-73.8945336,40.8859077,1.0
182.0,-73.8962896,40.8860977,0.0
183.0,-73.8948052,40.88652439999999,0.0
184.0,-73.93116130000001,40.8283273,1.0
185.0,-73.9302028,40.82817639999998,1.0
186.0,-73.8944359,40.8861689,1.0
187.0,-73.83171290000001,40.8310984,0.0
188.0,-73.83482020000001,40.830036,0.0
189.0,-73.8321054,40.8564696,0.0
190.0,-73.8319196,40.856049000000006,0.0
191.0,-73.8539444,40.826773,0.0
192.0,-73.8558123,40.8266762,0.0
193.0,-73.831155,40.865788499999994,0.0
194.0,-73.8312995,40.8666992,0.0
195.0,-73.8206784,40.889835,1.0
196.0,-73.9322103,40.8303761,0.0
197.0,-73.9319267,40.829182200000005,0.0
198.0,-73.905767,40.90071540000001,1.0
199.0,-73.9064473,40.9008738,1.0
200.0,-73.9065633,40.90083820000001,1.0
201.0,-73.9210535,40.80551760000001,0.0
202.0,-73.92301650000002,40.8066513,1.0
203.0,-73.87388120000001,40.8362236,0.0
204.0,-73.87403990000001,40.8359951,1.0
205.0,-73.902303,40.831351,1.0
206.0,-73.901108,40.8314092,1.0
207.0,-73.87200540000002,40.8661674,0.0
208.0,-73.8718579,40.8659733,1.0
209.0,-73.875037,40.85571780000001,1.0
210.0,-73.8721201,40.8542491,0.0
211.0,-73.8726548,40.8587022,0.0
212.0,-73.8751954,40.85579070000001,1.0
213.0,-73.8347254,40.8283648,0.0
214.0,-73.8370885,40.8290988,0.0
215.0,-73.9319322,40.831309299999994,1.0
216.0,-73.93162540000002,40.83297350000001,0.0
217.0,-73.8265924,40.85581400000001,0.0
218.0,-73.8264381,40.85653069999999,1.0
219.0,-73.9264397,40.80753579999999,0.0
220.0,-73.925465,40.8068775,1.0
221.0,-73.93170810000001,40.833254800000006,0.0
222.0,-73.9321591,40.8322153,0.0
223.0,-73.8264248,40.8556676,0.0
224.0,-73.8265238,40.8545861,0.0
225.0,-73.87251490000001,40.8251812,0.0
226.0,-73.87186990000001,40.8264778,1.0
227.0,-73.8798703,40.838519399999996,1.0
228.0,-73.8815052,40.8380586,0.0
229.0,-73.8728048,40.82453490000001,1.0
230.0,-73.8727526,40.824945500000005,0.0
231.0,-73.8735624,40.8666296,1.0
232.0,-73.872035,40.86372440000002,0.0
233.0,-73.8693818,40.857157,0.0
234.0,-73.87175340000002,40.8576528,0.0
235.0,-73.87215960000002,40.86001960000001,0.0
236.0,-73.9267883,40.804550199999994,1.0
237.0,-73.9251244,40.804984700000006,1.0
238.0,-73.8557268,40.826308700000006,0.0
239.0,-73.8537954,40.8266596,0.0
240.0,-73.86449430000002,40.82533660000001,0.0
241.0,-73.8605161,40.8255036,1.0
242.0,-73.9204752,40.8051467,0.0
243.0,-73.919353,40.8046529,0.0
244.0,-73.8446103,40.8280236,0.0
245.0,-73.8354447,40.8282142,0.0
246.0,-73.82698,40.8626586,0.0
247.0,-73.8289358,40.86268220000001,1.0
